Material,Plant,created On,Daily_Sales,Ph1
10000090,7009,2025-08-05 00:00:00,1,10004
10000090,7009,2025-08-07 00:00:00,2,10004
10000090,7009,2025-08-07 00:00:00,2,10004
10000090,7009,2025-09-06 00:00:00,1,10004
10000090,7009,2025-09-06 00:00:00,1,10004
10000090,7009,2025-09-10 00:00:00,1,10004
10000090,7009,2025-09-10 00:00:00,1,10004
10000090,7009,2025-09-13 00:00:00,1,10004
10000090,7009,2025-09-13 00:00:00,1,10004
10000090,7009,2025-09-17 00:00:00,1,10004
10000090,7009,2025-09-17 00:00:00,1,10004
10000090,7009,2025-09-20 00:00:00,2,10004
10000090,7009,2025-09-20 00:00:00,2,10004
10000090,7012,2025-08-08 00:00:00,1,10004
10000090,7012,2025-08-08 00:00:00,1,10004
10000090,7012,2025-08-11 00:00:00,1,10004
10000090,7012,2025-08-11 00:00:00,1,10004
10000090,7012,2025-08-16 00:00:00,1,10004
10000090,7012,2025-08-16 00:00:00,1,10004
10000090,7012,2025-08-20 00:00:00,1,10004
10000090,7012,2025-08-20 00:00:00,1,10004
10000090,7012,2025-08-25 00:00:00,2,10004
10000090,7012,2025-08-25 00:00:00,2,10004
10000090,7012,2025-08-29 00:00:00,1,10004
10000090,7012,2025-08-29 00:00:00,1,10004
10000090,7012,2025-09-09 00:00:00,1,10004
10000090,7012,2025-09-09 00:00:00,1,10004
10000090,7012,2025-09-10 00:00:00,1,10004
10000090,7012,2025-09-10 00:00:00,1,10004
10000090,7012,2025-09-13 00:00:00,1,10004
10000090,7012,2025-09-13 00:00:00,1,10004
10000090,7015,2025-07-28 00:00:00,1,10004
10000090,7015,2025-07-28 00:00:00,1,10004
10000090,7015,2025-07-30 00:00:00,1,10004
10000090,7015,2025-07-30 00:00:00,1,10004
10000090,7015,2025-07-31 00:00:00,1,10004
10000090,7015,2025-07-31 00:00:00,1,10004
10000090,7015,2025-09-14 00:00:00,1,10004
10000090,7015,2025-09-14 00:00:00,1,10004
10000090,7017,2025-08-12 00:00:00,1,10004
10000090,7017,2025-08-12 00:00:00,1,10004
10000090,7017,2025-08-13 00:00:00,1,10004
10000090,7017,2025-08-13 00:00:00,1,10004
10000090,7019,2025-08-11 00:00:00,1,10004
10000090,7019,2025-08-11 00:00:00,1,10004
10000090,7019,2025-08-18 00:00:00,1,10004
10000090,7019,2025-08-18 00:00:00,1,10004
10000090,7019,2025-08-27 00:00:00,1,10004
10000090,7019,2025-08-27 00:00:00,1,10004
10000090,7049,2025-07-31 00:00:00,1,10004
10000090,7049,2025-07-31 00:00:00,1,10004
10000090,7049,2025-08-04 00:00:00,1,10004
10000090,7049,2025-08-04 00:00:00,1,10004
10000090,7049,2025-08-12 00:00:00,1,10004
10000090,7049,2025-08-12 00:00:00,1,10004
10000090,7049,2025-08-14 00:00:00,1,10004
10000090,7049,2025-08-14 00:00:00,1,10004
10000090,7049,2025-08-22 00:00:00,1,10004
10000090,7049,2025-08-22 00:00:00,1,10004
10000090,7050,2025-07-28 00:00:00,1,10004
